Freq.	V(n017)	V(n032)
1.00000000000000e+001	(-2.42064097050731e+002dB,1.45442826448928e+002°)	(1.05780758079521e+001dB,1.10897163357794e+002°)
1.02337389199677e+001	(-2.41330497973101e+002dB,1.44783667146875e+002°)	(1.04394707431486e+001dB,1.09580258252983e+002°)
1.04729412282063e+001	(-2.40599397705103e+002dB,1.44117185331439e+002°)	(1.02958619387491e+001dB,1.08248801339352e+002°)
1.07177346253629e+001	(-2.39870862903696e+002dB,1.43443558829961e+002°)	(1.01471162441489e+001dB,1.06903151578939e+002°)
1.09682497969463e+001	(-2.39144960761259e+002dB,1.42762976839473e+002°)	(9.99309945694796e+000dB,1.05543690674820e+002°)
1.12246204830937e+001	(-2.38421758982425e+002dB,1.42075639699236e+002°)	(9.83367636925786e+000dB,1.04170822607633e+002°)
1.14869835499704e+001	(-2.37701325767794e+002dB,1.41381758605960e+002°)	(9.66871080010778e+000dB,1.02784973057298e+002°)
1.17554790628361e+001	(-2.36983729805821e+002dB,1.40681555270945e+002°)	(9.49806561140429e+000dB,1.01386588708554e+002°)
1.20302503608212e+001	(-2.36269040274199e+002dB,1.39975261518909e+002°)	(9.32160270474967e+000dB,9.99761364398758e+001°)
1.23114441334492e+001	(-2.35557326852179e+002dB,1.39263118828733e+002°)	(9.13918299627091e+000dB,9.85541023963483e+001°)
1.25992104989487e+001	(-2.34848659745311e+002dB,1.38545377816921e+002°)	(8.95066636646653e+000dB,9.71209909481279e+001°)
1.28937030843958e+001	(-2.34143109724185e+002dB,1.37822297665035e+002°)	(8.75591158193187e+000dB,9.56773235371981e+001°)
1.31950791077289e+001	(-2.33440748178806e+002dB,1.37094145493021e+002°)	(8.55477618568195e+000dB,9.42236374162244e+001°)
1.35034994616819e+001	(-2.32741647190326e+002dB,1.36361195680779e+002°)	(8.34711635264559e+000dB,9.27604842844138e+001°)
1.38191287996778e+001	(-2.32045879621913e+002dB,1.35623729140971e+002°)	(8.13278670675843e+000dB,9.12884288263624e+001°)
1.41421356237310e+001	(-2.31353519230631e+002dB,1.34882032546507e+002°)	(7.91164009592805e+000dB,8.98080471609193e+001°)
1.44726923744038e+001	(-2.30664640802283e+002dB,1.34136397516691e+002°)	(7.68352732098029e+000dB,8.83199252080916e+001°)
1.48109755228657e+001	(-2.29979320311245e+002dB,1.33387119766482e+002°)	(7.44829681451419e+000dB,8.68246569829377e+001°)
1.51571656651040e+001	(-2.29297635107450e+002dB,1.32634498223692e+002°)	(7.20579426539030e+000dB,8.53228428262359e+001°)
1.55114476183374e+001	(-2.28619664132778e+002dB,1.31878834119403e+002°)	(6.95586218434168e+000dB,8.38150875824554e+001°)
1.58740105196820e+001	(-2.27945488169245e+002dB,1.31120430057119e+002°)	(6.69833940592418e+000dB,8.23019987361817e+001°)
1.62450479271247e+001	(-2.27275190121562e+002dB,1.30359589066476e+002°)	(6.43306052169764e+000dB,8.07841845186464e+001°)
1.66247579228558e+001	(-2.26608855336810e+002dB,1.29596613647503e+002°)	(6.15985523914334e+000dB,7.92622519963783e+001°)
1.70133432190171e+001	(-2.25946571964228e+002dB,1.28831804811559e+002°)	(5.87854766035884e+000dB,7.77368051542132e+001°)
1.74110112659225e+001	(-2.25288431358366e+002dB,1.28065461125070e+002°)	(5.58895547401316e+000dB,7.62084429849783e+001°)
1.78179743628068e+001	(-2.24634528529227e+002dB,1.27297877762237e+002°)	(5.29088905337456e+000dB,7.46777575980940e+001°)
1.82344497711644e+001	(-2.23984962643374e+002dB,1.26529345572708e+002°)	(4.98415045241540e+000dB,7.31453323591236e+001°)
