Freq.	V(n004)
6.00000000000000e+001	(-9.52485807584809e+001dB,-1.30442475539446e+002°)
6.47865097396626e+001	(-6.74447068627654e+001dB,-1.35693387302045e+002°)
6.99548640707899e+001	(-5.69308237715144e+001dB,-1.40921406285670e+002°)
7.55355247076500e+001	(-5.02145043667568e+001dB,-1.46118921250762e+002°)
8.15613834527115e+001	(-4.52255661214589e+001dB,-1.51280230649617e+002°)
8.80679560573242e+001	(-4.12308047708392e+001dB,-1.56401430668271e+002°)
9.50935915476668e+001	(-3.78841813136171e+001dB,-1.61480215947468e+002°)
1.02679698249707e+002	(-3.49945577213120e+001dB,-1.66515607313932e+002°)
1.10870987845337e+002	(-3.24451759504650e+001dB,-1.71507626300765e+002°)
1.19715738898133e+002	(-3.01595530847887e+001dB,-1.76456940197959e+002°)
1.29266081401913e+002	(-2.80849701985915e+001dB,1.78635496382557e+002°)
1.39578304029218e+002	(-2.61836626086482e+001dB,1.73768777022377e+002°)
1.50713185890575e+002	(-2.44277528461906e+001dB,1.68942331154428e+002°)
1.62736354759922e+002	(-2.27961544051488e+001dB,1.64156142341980e+002°)
1.75718673877514e+002	(-2.12725825087930e+001dB,1.59410881045096e+002°)
1.89736659610103e+002	(-1.98442218545669e+001dB,1.54707942967290e+002°)
2.04872932430016e+002	(-1.85008040944996e+001dB,1.50049392729231e+002°)
2.21216703871174e+002	(-1.72339531554413e+001dB,1.45437821927019e+002°)
2.38864302332098e+002	(-1.60367136985270e+001dB,1.40876139503001e+002°)
2.57919740824937e+002	(-1.49032100345817e+001dB,1.36367319535997e+002°)
2.78495330016767e+002	(-1.38284010634355e+001dB,1.31914135917063e+002°)
3.00712340176363e+002	(-1.28079073175526e+001dB,1.27518914206437e+002°)
3.24701715927878e+002	(-1.18378923334779e+001dB,1.23183328178545e+002°)
3.50604848024110e+002	(-1.09149843123836e+001dB,1.18908262717161e+002°)
3.78574406688116e+002	(-1.00362265200430e+001dB,1.14693756875816e+002°)
4.08775241434777e+002	(-9.19904677288166e+000dB,1.10539032327830e+002°)
4.41385352675785e+002	(-8.40123799536300e+000dB,1.06442604249496e+002°)
4.76596940834569e+002	(-7.64094335207837e+000dB,1.02402464729074e+002°)
5.14617539154536e+002	(-6.91664088678895e+000dB,9.84163234706527e+001°)
5.55671236877276e+002	(-6.22712393171203e+000dB,9.44818868904716e+001°)
6.00000000000000e+002	(-5.57147477564164e+000dB,9.05971544831072e+001°)
6.47865097396625e+002	(-4.94903020831452e+000dB,8.67607103163794e+001°)
6.99548640707899e+002	(-4.35933861435475e+000dB,8.29719875469345e+001°)
7.55355247076500e+002	(-3.80210929580291e+000dB,7.92314849595382e+001°)
8.15613834527115e+002	(-3.27715565989642e+000dB,7.55409169110505e+001°)
8.80679560573241e+002	(-2.78433478463426e+000dB,7.19032819551882e+001°)
9.50935915476667e+002	(-2.32348659426363e+000dB,6.83228409867504e+001°)
1.02679698249707e+003	(-1.89437633585334e+000dB,6.48050028506905e+001°)
1.10870987845337e+003	(-1.49664413893770e+000dB,6.13561234936734e+001°)
1.19715738898133e+003	(-1.12976508828848e+000dB,5.79832329708652e+001°)
1.29266081401913e+003	(-7.93022438718840e-001dB,5.46937117689925e+001°)
1.39578304029217e+003	(-4.85495431807262e-001dB,5.14949427759869e+001°)
1.50713185890575e+003	(-2.06061801087559e-001dB,4.83939669390392e+001°)
1.62736354759922e+003	(4.65863123281052e-002dB,4.53971688992463e+001°)
1.75718673877514e+003	(2.73915455030879e-001dB,4.25100140381412e+001°)
1.89736659610103e+003	(4.77516149640415e-001dB,3.97368513639584e+001°)
2.04872932430016e+003	(6.59063860806052e-001dB,3.70807887722592e+001°)
2.21216703871174e+003	(8.20278985070182e-001dB,3.45436397094748e+001°)
2.38864302332098e+003	(9.62888724125337e-001dB,3.21259341490981e+001°)
2.57919740824937e+003	(1.08859300058615e+000dB,2.98269826277979e+001°)
2.78495330016767e+003	(1.19903580099204e+000dB,2.76449800019194e+001°)
3.00712340176363e+003	(1.29578259897970e+000dB,2.55771353337641e+001°)
3.24701715927878e+003	(1.38030390069944e+000dB,2.36198154478137e+001°)
3.50604848024110e+003	(1.45396450224084e+000dB,2.17686916875326e+001°)
3.78574406688116e+003	(1.51801775885585e+000dB,2.00188817742000e+001°)
4.08775241434777e+003	(1.57360401900166e+000dB,1.83650810471529e+001°)
